time,send_or_recv,id,communicating_agent
2025-07-24 00:08:11.574826,RECEIVE,050c490d-2768-4e97-897c-6206004f355e,0@localhost
2025-07-24 00:08:11.574826,SEND_RESPONSE,050c490d-2768-4e97-897c-6206004f355e,0@localhost
2025-07-24 00:10:18.450448,RECEIVE,5432cd7d-2f73-4027-96cb-cfa77be873c6,0@localhost
2025-07-24 00:11:26.562312,RECEIVE,e1fd6e7f-d35b-43cb-a106-1b580e2bc897,0@localhost
2025-07-24 00:11:26.564024,SEND_RESPONSE,e1fd6e7f-d35b-43cb-a106-1b580e2bc897,0@localhost
2025-07-24 00:12:30.688333,RECEIVE,aca136d2-b3e9-4e56-a8fd-50462f385ad0,0@localhost
2025-07-24 00:12:30.688333,SEND_RESPONSE,aca136d2-b3e9-4e56-a8fd-50462f385ad0,0@localhost
2025-07-24 00:13:30.786427,RECEIVE,fd7f0bcb-0532-4220-ad96-cade40bd2f08,0@localhost
2025-07-24 00:13:30.797309,SEND_RESPONSE,fd7f0bcb-0532-4220-ad96-cade40bd2f08,0@localhost
2025-07-24 00:20:19.608313,RECEIVE,731f9ce4-5aa2-4361-b95e-c45e8100e77d,0@localhost
2025-07-24 00:22:19.871428,RECEIVE,1e4a3e8e-f876-4f60-9641-7b500ea342ca,0@localhost
2025-07-24 00:29:08.752109,RECEIVE,546aa59b-1987-45e5-8a04-603a07c71050,0@localhost
2025-07-24 00:29:08.752109,SEND_RESPONSE,546aa59b-1987-45e5-8a04-603a07c71050,0@localhost
2025-07-24 00:31:04.958975,RECEIVE,675abcd6-f535-4f9c-9b2f-be26c70e9b83,0@localhost
2025-07-24 00:31:04.958975,SEND_RESPONSE,675abcd6-f535-4f9c-9b2f-be26c70e9b83,0@localhost
2025-07-24 00:33:01.208339,RECEIVE,8707c84f-e264-4e1f-9226-bb2048a4b2ca,0@localhost
2025-07-24 00:34:01.347135,RECEIVE,e17db236-2fe3-404c-af57-194049d47d3c,0@localhost
2025-07-24 00:34:01.353970,SEND_RESPONSE,e17db236-2fe3-404c-af57-194049d47d3c,0@localhost
2025-07-24 00:35:01.481127,RECEIVE,bb2c284c-08db-4eb6-b8bd-4bab76708b44,0@localhost
2025-07-24 00:36:01.585826,RECEIVE,b6caf9ad-eb93-4b48-88d4-803cb9fdcd83,0@localhost
2025-07-24 00:36:01.585826,SEND_RESPONSE,b6caf9ad-eb93-4b48-88d4-803cb9fdcd83,0@localhost
2025-07-24 00:37:01.706035,RECEIVE,f8ab9722-54ea-4eda-ac4b-c4b8080753cd,0@localhost
2025-07-24 00:38:01.833711,RECEIVE,ba7cbe13-1df0-4bbd-843e-4e9f5f693fe8,0@localhost
2025-07-24 00:38:01.833711,SEND_RESPONSE,ba7cbe13-1df0-4bbd-843e-4e9f5f693fe8,0@localhost
2025-07-24 00:39:01.976828,RECEIVE,6b1991e0-b594-430a-884b-87721b460e02,0@localhost
2025-07-24 00:41:02.208050,RECEIVE,2050876c-4733-4c75-a8e6-d716755fa421,0@localhost
2025-07-24 00:42:02.341769,RECEIVE,6eea864f-1b62-444e-8c23-38ac94d8b8c4,0@localhost
2025-07-24 00:42:02.344041,SEND_RESPONSE,6eea864f-1b62-444e-8c23-38ac94d8b8c4,0@localhost
2025-07-24 00:43:02.455912,RECEIVE,312f20d2-0814-4605-ad4d-6d1f53b9e6ce,0@localhost
2025-07-24 00:47:59.035159,RECEIVE,e83c6bcb-3dc7-4634-b49d-c88e942f3ece,0@localhost
2025-07-24 00:47:59.041243,SEND_RESPONSE,e83c6bcb-3dc7-4634-b49d-c88e942f3ece,0@localhost
2025-07-24 00:52:51.602603,RECEIVE,75052571-2b53-4876-a444-2d89ad46bb7e,0@localhost
2025-07-24 00:52:51.607990,SEND_RESPONSE,75052571-2b53-4876-a444-2d89ad46bb7e,0@localhost
2025-07-24 00:54:47.830709,RECEIVE,4cbc9fc4-b872-48a4-bb13-82b17647f684,0@localhost
2025-07-24 00:55:47.923268,RECEIVE,26695a9d-6e21-4b57-a789-75b5a34d6cbd,0@localhost
2025-07-24 00:55:47.924786,SEND_RESPONSE,26695a9d-6e21-4b57-a789-75b5a34d6cbd,0@localhost
2025-07-24 00:56:48.064806,RECEIVE,23373eeb-e382-4653-8ab0-4ac53541f045,0@localhost
2025-07-24 00:58:48.288723,RECEIVE,db75e656-01fa-4ad9-808e-b6bf26a171f3,0@localhost
2025-07-24 00:58:48.288723,SEND_RESPONSE,db75e656-01fa-4ad9-808e-b6bf26a171f3,0@localhost
2025-07-24 00:59:44.382361,RECEIVE,35db965f-9646-41d2-a2c1-45632c7c7f01,0@localhost
2025-07-24 00:59:44.383824,SEND_RESPONSE,35db965f-9646-41d2-a2c1-45632c7c7f01,0@localhost
2025-07-24 01:00:44.505338,RECEIVE,e3dcd7d3-ea3b-466c-8875-94c81b090399,0@localhost
2025-07-24 01:01:44.636028,RECEIVE,dff6cfd5-e614-4eb9-91bd-53c164c589b3,0@localhost
2025-07-24 01:01:44.636620,SEND_RESPONSE,dff6cfd5-e614-4eb9-91bd-53c164c589b3,0@localhost
2025-07-24 01:04:41.032375,RECEIVE,162cc00b-0ce0-478e-a080-03fcf63971eb,0@localhost
2025-07-24 01:05:41.162046,RECEIVE,5e388e21-6d45-4a46-999c-b54dad01f274,0@localhost
